login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
korthaj,korthaj/korthaj.github.io,2015-02-25T18:07:37Z,16,16,HTML,true,false,
ivan-liljeqvist,ivan-liljeqvist/moralis-demo-app,2024-05-04T09:08:40Z,0,0,,true,false,
shoghicp,shoghicp/slack-client,2022-10-04T08:20:11Z,1,1,PHP,true,false,MIT License
kaishin,kaishin/swift-org-website,2022-09-02T08:49:58Z,0,0,SCSS,true,false,Other
Habrador,Habrador/Habrador,2022-01-25T09:12:11Z,2,2,,true,true,
darius-khll,darius-khll/AspNetCoreMigration,2020-05-25T18:11:20Z,1,1,C#,true,true,
a7ul,a7ul/react-native-exception-handler,2017-04-21T01:27:10Z,1583,1583,Objective-C,true,true,MIT License
foolip,foolip/day-to-day,2017-09-24T19:27:37Z,11,11,JavaScript,true,true,
fregu856,fregu856/papers,2018-09-20T06:44:49Z,401,401,,true,true,
Lauszus,Lauszus/clang-format-wheel,2024-09-11T11:07:06Z,0,0,,true,false,Apache License 2.0
dbarrosop,dbarrosop/terraform-provider-stripe,2024-10-04T08:01:32Z,0,0,,true,false,Mozilla Public License 2.0
iamstarkov,iamstarkov/renovate-allowed-versions-confusion,2023-08-08T09:31:50Z,0,0,,true,true,
NicolasPetton,NicolasPetton/dreamedaway.com,2022-11-19T09:51:43Z,3,3,Makefile,true,true,GNU Affero General Public License v3.0
vlidholt,vlidholt/serverpod_docs,2024-01-15T14:08:51Z,1,1,MDX,true,true,
alexdrone,alexdrone/Store,2017-03-21T17:46:10Z,503,503,Swift,true,true,
Kin-Zhang,Kin-Zhang/mmfn,2022-03-06T16:18:51Z,93,93,Python,false,false,MIT License
britzl,britzl/defold-orthographic,2017-06-28T20:50:50Z,164,164,Lua,true,true,MIT License
carolinan,carolinan/wordpress-develop,2021-05-03T07:40:38Z,2,2,PHP,true,false,
peterhellberg,peterhellberg/dotfiles,2009-11-26T13:19:14Z,11,11,Vim Script,true,true,
sagatowski,sagatowski/sagatowski,2022-11-19T20:03:16Z,11,11,,true,true,
quarnster,quarnster/Cura,2023-10-21T10:16:20Z,0,0,Python,true,true,GNU Lesser General Public License v3.0
isabellaalstrom,isabellaalstrom/lovelace-grocy-chores-card,2019-07-07T16:03:22Z,132,132,JavaScript,true,true,
LeuisKen,LeuisKen/webf,2024-07-01T11:58:46Z,0,0,Dart,true,true,Apache License 2.0
carlthome,carlthome/dotfiles,2021-08-08T15:30:30Z,12,12,Nix,false,false,GNU Affero General Public License v3.0
sebbekarlsson,sebbekarlsson/plicit,2024-08-02T14:14:01Z,2,2,TypeScript,true,false,
Rugvip,Rugvip/lerna-publish-experiment,2020-03-24T12:42:45Z,0,0,JavaScript,true,true,MIT License
heyman,heyman/heynote,2022-12-28T11:49:43Z,3997,3997,JavaScript,true,true,Other
ubuwaits,ubuwaits/beautiful-web-type,2012-01-12T05:23:14Z,7266,7266,HTML,false,false,MIT License
DanielRapp,DanielRapp/cat-filter,2021-09-19T13:33:08Z,11,11,JavaScript,true,true,
nevyn,nevyn/Wildwood,2024-09-07T08:46:23Z,0,0,C#,true,true,
erlang,erlang/erlang-org,2016-12-05T14:20:52Z,74,74,HTML,true,true,Apache License 2.0
haf,haf/expecto,2016-10-22T11:49:30Z,672,672,F#,true,true,Apache License 2.0
PEZ,PEZ/replicant,2024-08-16T18:36:48Z,0,0,Clojure,true,true,
stuffmatic,stuffmatic/zephyr-ble-midi,2023-01-16T10:15:21Z,4,4,C,true,true,MIT License
ardacetinkaya,ardacetinkaya/Hello.AI.World,2024-08-08T19:06:37Z,3,3,C#,true,true,
pirelenito,pirelenito/lumine,2017-11-18T21:34:56Z,8,8,TypeScript,false,false,
MaikKlein,MaikKlein/unreal-rust,2021-12-27T15:16:00Z,2100,2100,Rust,true,true,Apache License 2.0
icyJoseph,icyJoseph/advent-of-code,2019-12-02T11:01:37Z,3,3,TypeScript,true,true,
pardeike,pardeike/Harmony,2017-01-04T09:43:16Z,5274,5274,C#,true,true,MIT License
pomle,pomle/shapes,2022-01-28T09:03:43Z,0,0,TypeScript,true,false,MIT License
rarkins,rarkins/unkey,2024-10-30T17:07:30Z,0,0,,true,true,Other
astrit,astrit/css-deploy,2024-08-16T22:38:44Z,0,0,,true,true,
